lineID,timestamp,level,service,response_time_ms,memory_usage_mb,thread_count
1,2025-07-01 00:00:00,INFO,UserService,79,162,4
2,2025-07-01 00:01:00,INFO,PaymentAPI,77,168,4
3,2025-07-01 00:02:00,DEBUG,OrderProcessor,81,161,4
4,2025-07-01 00:03:00,DEBUG,UserService,87,164,4
5,2025-07-01 00:04:00,INFO,AuthService,82,161,4
6,2025-07-01 00:05:00,INFO,PaymentAPI,85,152,4
7,2025-07-01 00:06:00,INFO,OrderProcessor,90,158,4
8,2025-07-01 00:07:00,DEBUG,OrderProcessor,83,173,4
9,2025-07-01 00:08:00,DEBUG,AuthService,77,160,4
10,2025-07-01 00:09:00,INFO,UserService,83,160,4
11,2025-07-01 00:10:00,DEBUG,OrderProcessor,76,157,3
12,2025-07-01 00:11:00,DEBUG,AuthService,69,157,4
13,2025-07-01 00:12:00,DEBUG,PaymentAPI,72,160,4
14,2025-07-01 00:13:00,DEBUG,UserService,82,151,4
15,2025-07-01 00:14:00,DEBUG,UserService,71,156,4
16,2025-07-01 00:15:00,INFO,OrderProcessor,82,162,4
17,2025-07-01 00:16:00,DEBUG,OrderProcessor,82,165,4
18,2025-07-01 00:17:00,DEBUG,UserService,81,160,4
19,2025-07-01 00:18:00,INFO,OrderProcessor,88,156,4
20,2025-07-01 00:19:00,WARN,OrderProcessor,80,163,4
21,2025-07-01 00:20:00,INFO,PaymentAPI,85,160,4
22,2025-07-01 00:21:00,DEBUG,OrderProcessor,84,163,4
23,2025-07-01 00:22:00,DEBUG,UserService,80,151,4
24,2025-07-01 00:23:00,DEBUG,OrderProcessor,73,155,4
25,2025-07-01 00:24:00,DEBUG,UserService,84,163,4
26,2025-07-01 00:25:00,DEBUG,OrderProcessor,77,158,4
27,2025-07-01 00:26:00,DEBUG,OrderProcessor,76,161,4
28,2025-07-01 00:27:00,DEBUG,AuthService,73,163,4
29,2025-07-01 00:28:00,DEBUG,OrderProcessor,93,171,4
30,2025-07-01 00:29:00,DEBUG,PaymentAPI,99,167,4
31,2025-07-01 00:30:00,DEBUG,PaymentAPI,101,185,4
32,2025-07-01 00:31:00,INFO,AuthService,127,184,5
33,2025-07-01 00:32:00,DEBUG,AuthService,141,197,5
34,2025-07-01 00:33:00,INFO,OrderProcessor,178,220,5
